"What is the weather in Toronto today,simple"
"How tall is the Eiffel Tower,simple"
"What time is it in London right now,simple"
"When was the iPhone first released,simple"
"What is the population of Japan,simple"
"How many calories in a banana,simple"
"What is the capital of Australia,simple"
"When does Starbucks open,simple"
"What is 15% of 200,simple"
"How to tie a tie,simple"
"What is the currency of Brazil,simple"
"How many ounces in a pound,simple"
"What is the speed of light,simple"
"When is Black Friday 2025,simple"
"What is the boiling point of water,simple"
"How many days until Christmas,simple"
"What is the largest ocean,simple"
"When was World War 2,simple"
"How to cook rice,simple"
"What is the phone number for Pizza Hut,simple"
"How many hours in a day,simple"
"What is the highest mountain,simple"
"When does Walmart close,simple"
"How to spell restaurant,simple"
"What is the atomic number of carbon,simple"
"How many minutes in an hour,simple"
"What is the smallest country,simple"
"When is Easter 2025,simple"
"How to change a tire,simple"
"What is the distance to the moon,simple"
"How many states in USA,simple"
"What is the freezing point of water,simple"
"When does McDonald's stop serving breakfast,simple"
"How to make coffee,simple"
"What is the largest planet,simple"
"How many provinces in Canada,simple"
"What time does the sun set today,simple"
"When was Facebook founded,simple"
"How to lose weight,simple"
"What is the deepest ocean,simple"
"How many cups in a gallon,simple"
"What is the national bird of USA,simple"
"When does school start,simple"
"How to parallel park,simple"
"What is the longest river,simple"
"How many seconds in a minute,simple"
"What is the temperature outside,simple"
"When was Amazon founded,simple"
"How to make pancakes,simple"
"What is the smallest planet,simple"
"How many feet in a mile,simple"
"What is the capital of France,simple"
"When does Target open,simple"
"How to install Windows 10,simple"
"What is the largest country by area,simple"
"How many tablespoons in a cup,simple"
"What is the national flower of Canada,simple"
"When is Mother's Day 2025,simple"
"How to screenshot on iPhone,simple"
"What is the deepest part of the ocean,simple"
"How many years in a decade,simple"
"What is the current gas price,simple"
"When does Costco close,simple"
"How to hard boil eggs,simple"
"What is the fastest animal,simple"
"How many continents are there,simple"
"What is the time zone of New York,simple"
"When was Tesla founded,simple"
"How to reset iPhone,simple"
"What is the largest desert,simple"
"How many ounces in a cup,simple"
"What is the national anthem of USA,simple"
"When does Home Depot open,simple"
"How to make scrambled eggs,simple"
"What is the coldest place on Earth,simple"
"How many inches in a foot,simple"
"What is the current stock price of Apple,simple"
"When is Father's Day 2025,simple"
"How to connect to WiFi,simple"
"What is the hottest place on Earth,simple"
"How many weeks in a year,simple"
"What is the population of Canada,simple"
"When does Best Buy close,simple"
"How to bake a cake,simple"
"What is the largest mammal,simple"
"How many grams in a kilogram,simple"
"What is the capital of Germany,simple"
"When does the library open,simple"
"How to change oil in car,simple"
"What is the smallest bone in human body,simple"
